text,category
Claim your free gift now.,Spam
"Congratulations, you’ve been selected!",Spam
Password changed successfully.,Notifications
Security alert: suspicious activity detected.,Notifications
Your appointment has been confirmed.,Important
Limited-time offer ends in 3 days.,Alerts
Don't miss out on our holiday deals.,Promotions
"This is not a scam, trust me.",Spam
Electricity bill due in 2 days.,Important
"This is not a scam, trust me.",Spam
"Congratulations, you’ve been selected!",Spam
Resume received. We’ll get back to you soon.,Jobs
Your application has been shortlisted.,Jobs
Exciting job opportunity at our company.,Jobs
"This is not a scam, trust me.",Spam
Claim your free gift now.,Spam
We found a job match for you.,Jobs
Huge discount on your next order!,Promotions
Resume received. We’ll get back to you soon.,Jobs
Security alert: suspicious activity detected.,Notifications
Huge discount on your next order!,Promotions
New login from unknown device.,Notifications
Huge discount on your next order!,Promotions
Password changed successfully.,Notifications
Insurance policy expiring soon.,Important
Reminder: upcoming event tomorrow.,Notifications
Trial period ends in 2 days.,Alerts
Bank statement for the month is ready.,Important
"Congratulations, you’ve been selected!",Spam
"Congratulations, you’ve been selected!",Spam
"This is not a scam, trust me.",Spam
Meeting scheduled at 10 AM tomorrow.,Important
Interview scheduled for next week.,Jobs
Reminder: upcoming event tomorrow.,Notifications
Exciting job opportunity at our company.,Jobs
Exciting job opportunity at our company.,Jobs
We found a job match for you.,Jobs
"Congratulations, you’ve been selected!",Spam
Clearance sale starts today!,Promotions
Your subscription expires in 2 days.,Alerts
Act fast – this offer won't last!,Alerts
Your appointment has been confirmed.,Important
Your subscription expires in 2 days.,Alerts
Bank statement for the month is ready.,Important
Limited-time offer ends in 3 days.,Alerts
Insurance policy expiring soon.,Important
We found a job match for you.,Jobs
New login from unknown device.,Notifications
We found a job match for you.,Jobs
Your subscription expires in 2 days.,Alerts
Exciting job opportunity at our company.,Jobs
"This is not a scam, trust me.",Spam
Bank statement for the month is ready.,Important
Meeting scheduled at 10 AM tomorrow.,Important
Resume received. We’ll get back to you soon.,Jobs
Bank statement for the month is ready.,Important
Interview scheduled for next week.,Jobs
Act fast – this offer won't last!,Alerts
We found a job match for you.,Jobs
Meeting scheduled at 10 AM tomorrow.,Important
Limited-time offer ends in 3 days.,Alerts
New login from unknown device.,Notifications
Reminder: upcoming event tomorrow.,Notifications
Insurance policy expiring soon.,Important
Get 50% off for a limited time.,Promotions
Exclusive offer just for you.,Promotions
You have a new friend request.,Notifications
We found a job match for you.,Jobs
Your application has been shortlisted.,Jobs
Your appointment has been confirmed.,Important
Bank statement for the month is ready.,Important
Your subscription expires in 2 days.,Alerts
Insurance policy expiring soon.,Important
Security alert: suspicious activity detected.,Notifications
Security alert: suspicious activity detected.,Notifications
Your application has been shortlisted.,Jobs
We found a job match for you.,Jobs
"Congratulations, you’ve been selected!",Spam
Exclusive offer just for you.,Promotions
New login from unknown device.,Notifications
Resume received. We’ll get back to you soon.,Jobs
We found a job match for you.,Jobs
We found a job match for you.,Jobs
Insurance policy expiring soon.,Important
Exciting job opportunity at our company.,Jobs
Act fast – this offer won't last!,Alerts
Exciting job opportunity at our company.,Jobs
Reminder: upcoming event tomorrow.,Notifications
Don't miss out on our holiday deals.,Promotions
You've won a million dollars!,Spam
Reminder: upcoming event tomorrow.,Notifications
"This is not a scam, trust me.",Spam
Your subscription expires in 2 days.,Alerts
Password changed successfully.,Notifications
Get rich quick with this one simple trick.,Spam
Interview scheduled for next week.,Jobs
"Congratulations, you’ve been selected!",Spam
Get rich quick with this one simple trick.,Spam
Security alert: suspicious activity detected.,Notifications
Trial period ends in 2 days.,Alerts
"This is not a scam, trust me.",Spam
Your appointment has been confirmed.,Important
